Date,Open,High,Low,Close,Adj Close,Volume
2018-02-19,7520.917480,8053.864746,7489.634766,8023.802734,8023.802734,5469685387
2018-02-20,8028.448730,8545.448242,8029.022461,8146.082031,8146.082031,7090892412
2018-02-21,8123.580566,8157.819336,7530.252441,7685.958984,7685.958984,6762053094
2018-02-22,7664.390137,7942.369629,7148.881348,7172.042969,7172.042969,5763498116
2018-02-23,7123.347656,7516.161133,6984.187012,7376.369141,7376.369141,5542069482
2018-02-24,7366.774414,7588.399902,6836.354980,7026.903320,7026.903320,4953762967
2018-02-25,7014.980469,7105.778320,6736.168457,6919.194336,6919.194336,4085724444
2018-02-26,6922.558594,7464.016113,6772.920898,7424.407715,7424.407715,5219286858
2018-02-27,7443.887695,7820.632813,7339.612793,7715.148438,7715.148438,5010919177
2018-02-28,7687.527344,7985.166992,7558.068359,7561.009766,7561.009766,5043768144
2018-03-01,7551.628906,8021.119141,7530.332031,7950.486328,7950.486328,5312385468
2018-03-02,7969.653320,8115.616211,7876.660156,8031.295410,8031.295410,5520566560
2018-03-03,8042.524414,8351.347656,7970.443848,8323.457031,8323.457031,4846834425
2018-03-04,8329.035156,8346.091797,8067.298828,8346.091797,8346.091797,4410721879
2018-03-05,8360.447266,8459.164063,8273.496094,8357.379883,8357.379883,4671100451
2018-03-06,8304.520508,8305.120117,7703.162109,7755.881836,7755.881836,4915583843
2018-03-07,7773.149414,7860.122070,6972.246582,7168.443848,7168.443848,6328521088
2018-03-08,7158.279785,7317.133301,6723.225098,6806.498535,6806.498535,5206179804
2018-03-09,6820.756836,6857.686035,6166.181641,6741.426270,6741.426270,6284160323
2018-03-10,6750.840820,6881.322754,6373.886230,6400.981934,6400.981934,3888758842
2018-03-11,6391.437500,7010.169922,6214.078613,6913.482422,6913.482422,4544475046
2018-03-12,6931.020996,7173.018555,6441.157715,6620.483398,6620.483398,4644274891
2018-03-13,6597.410645,6818.619141,6422.102051,6581.853516,6581.853516,4288575404
2018-03-14,6596.027344,6695.183594,5778.550293,5920.115723,5920.115723,4608941238
2018-03-15,5935.113281,6037.067383,5570.462402,5956.415527,5956.415527,4904154673
2018-03-16,5972.237305,6159.970215,5748.463379,5977.740234,5977.740234,3791941960
2018-03-17,5965.954590,5983.604980,5600.989258,5675.589355,5675.589355,3173094765
2018-03-18,5656.692383,5913.727051,5303.599121,5898.070313,5898.070313,4761665363
2018-03-19,5984.451172,6181.155762,5832.905762,6154.639160,6154.639160,4798623701
2018-03-20,6146.808594,6467.323730,5968.902832,6364.945313,6364.945313,4542837726
2018-03-21,6382.091309,6523.578613,6284.243652,6314.461914,6314.461914,4273481264
2018-03-22,6321.646484,6430.233887,6077.414551,6186.016602,6186.016602,3919482648
2018-03-23,6191.530762,6282.453613,5909.400879,6282.453613,6282.453613,4212622182
2018-03-24,6298.252441,6364.921387,6131.102539,6132.814453,6132.814453,4007782697
2018-03-25,6093.681641,6142.641602,5977.854492,6005.782715,6005.782715,3230510437
2018-03-26,6007.684082,6025.770020,5568.276367,5766.648438,5766.648438,4159201933
2018-03-27,5760.044922,5785.916504,5481.006348,5525.954102,5525.954102,3794180063
2018-03-28,5528.627930,5739.747070,5508.726074,5649.488770,5649.488770,3505177455
2018-03-29,5666.953125,5681.019043,5047.312988,5109.962402,5109.962402,4536283123
2018-03-30,5114.062988,5179.117676,4765.725586,4919.691406,4919.691406,4490582527
2018-03-31,4921.090820,5146.258789,4900.414063,4978.958984,4978.958984,3250942282
2018-04-01,5000.042969,5041.375488,4660.052734,4876.196777,4876.196777,3228911439
2018-04-02,4876.645508,5073.210449,4855.114258,5043.645508,5043.645508,3085396938
2018-04-03,5056.788574,5358.574219,5034.159180,5300.426270,5300.426270,3909646850
